City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,bahia blanca,-38.7196,-62.2724,9.86,45,0,3.73,AR,1714188782
160,bac lieu,9.285,105.7244,33.25,56,46,5.62,VN,1714188819
161,coquimbo,-29.9533,-71.3436,13.85,88,0,0.0,CL,1714188819
162,pandan,14.0453,124.1694,31.78,66,21,1.77,PH,1714188819
163,polyarnyy,69.1989,33.4478,-0.07,89,100,4.61,RU,1714188711
164,lamu,-2.2717,40.902,26.21,87,100,7.18,KE,1714188820
165,suksun,57.1431,57.3949,12.06,73,100,3.93,RU,1714188820
166,kismayo,-0.3582,42.5454,26.16,88,100,6.12,SO,1714188820
167,constantia,44.1833,28.65,7.61,78,8,1.82,RO,1714188580
168,caleta de carquin,-11.0925,-77.6267,20.04,88,54,3.14,PE,1714188820
169,pisco,-13.7,-76.2167,21.03,78,40,2.57,PE,1714188820
170,new norfolk,-42.7826,147.0587,17.62,59,100,1.17,AU,1714188820
171,klyuchi,52.2667,79.1667,10.27,25,0,4.37,RU,1714188820
172,vilhena,-12.7406,-60.1458,21.4,96,63,1.59,BR,1714188821
173,ola,59.5833,151.2833,0.08,95,100,8.36,RU,1714188821
174,bandarbeyla,9.4942,50.8122,28.26,73,90,1.0,SO,1714188821
175,hirara,24.8,125.2833,29.15,74,75,4.63,JP,1714188821
176,enewetak,11.3474,162.3373,27.86,72,87,7.73,MH,1714188821
177,dudinka,69.4058,86.1778,-8.34,92,100,3.49,RU,1714188802
178,bilibino,68.0546,166.4372,-1.52,79,16,0.84,RU,1714188821
179,aswan,24.0934,32.907,25.5,33,47,4.83,EG,1714188821
180,grand gaube,-20.0064,57.6608,26.88,80,68,2.24,MU,1714188821
181,baikonur,45.6167,63.3167,14.68,28,84,6.08,KZ,1714188821
182,ghat,24.9647,10.1728,26.86,14,6,3.43,LY,1714188821
183,nemuro,43.3236,145.575,9.99,74,100,8.22,JP,1714188822
184,puerto plata,19.7934,-70.6884,23.91,94,75,0.0,DO,1714188713
185,letlhakeng,-24.0944,25.0298,18.16,71,4,4.17,BW,1714188822
186,crane,31.3974,-102.3501,23.87,12,0,4.8,US,1714188822
187,lagos,6.5833,3.75,28.18,90,95,1.51,NG,1714188822
188,puerto ayora,-0.7393,-90.3518,25.31,97,45,1.79,EC,1714188822
189,east london,-33.0153,27.9116,17.52,82,100,1.54,ZA,1714188822
190,queenstown,-31.8976,26.8753,12.69,88,100,2.54,ZA,1714188609
191,walvis bay,-22.9575,14.5053,13.53,88,91,2.06,NA,1714188822
192,banda aceh,5.5577,95.3222,30.48,69,92,1.43,ID,1714188823
193,arvayheer,46.2639,102.775,-3.49,92,100,6.96,MN,1714188823
